Batch   1,	 best fitness: 10.499739 
Batch   2,	 best fitness: 11.622371 
Batch   3,	 best fitness: 12.739920 
Batch   4,	 best fitness: 52.492761 
Batch   5,	 best fitness: 26.046260 
Batch   6,	 best fitness: 32.626906 
Batch   7,	 best fitness: 30.716735 
Batch   8,	 best fitness: 6.277890 
Batch   9,	 best fitness: 22.629075 
Batch  10,	 best fitness: 6.037658 
Batch  11,	 best fitness: 53.857929 
Batch  12,	 best fitness: 7.940399 
Batch  13,	 best fitness: 66.940856 
Batch  14,	 best fitness: 1.366777 
Batch  15,	 best fitness: 19.975032 
Batch  16,	 best fitness: 13.254628 
Batch  17,	 best fitness: 3.742127 
Batch  18,	 best fitness: 91.877574 
Batch  19,	 best fitness: 311.722890 
Batch  20,	 best fitness: 23.766043 
Batch  21,	 best fitness: 31.435422 
Batch  22,	 best fitness: 8.356441 
Batch  23,	 best fitness: 14.650503 
Batch  24,	 best fitness: 53.456726 
Batch  25,	 best fitness: 6.513501 
Batch  26,	 best fitness: 250.647792 
Batch  27,	 best fitness: 9.641225 
Batch  28,	 best fitness: 78.937675 
Batch  29,	 best fitness: 12.724414 
Batch  30,	 best fitness: 42.698045 
