Batch   1,	 best fitness: 2.012116 
Batch   2,	 best fitness: 1.005985 
Batch   3,	 best fitness: 1.289287 
Batch   4,	 best fitness: 4.404963 
Batch   5,	 best fitness: 6.859929 
Batch   6,	 best fitness: 1.634637 
Batch   7,	 best fitness: 4.416687 
Batch   8,	 best fitness: 2.804450 
Batch   9,	 best fitness: 6.138050 
Batch  10,	 best fitness: 3.011941 
Batch  11,	 best fitness: 7.568671 
Batch  12,	 best fitness: 2.326420 
Batch  13,	 best fitness: 11.638229 
Batch  14,	 best fitness: 2.085198 
Batch  15,	 best fitness: 5.341084 
