Batch   1,	 best fitness: 15.572682 
Batch   2,	 best fitness: 0.874735 
Batch   3,	 best fitness: 1.042275 
Batch   4,	 best fitness: 0.986275 
Batch   5,	 best fitness: 1.817187 
Batch   6,	 best fitness: 1.137265 
Batch   7,	 best fitness: 1.216697 
Batch   8,	 best fitness: 0.487304 
Batch   9,	 best fitness: 1.126675 
Batch  10,	 best fitness: 7.579331 
Batch  11,	 best fitness: 0.537361 
Batch  12,	 best fitness: 1.016174 
Batch  13,	 best fitness: 1.457737 
Batch  14,	 best fitness: 1.720097 
Batch  15,	 best fitness: 0.890858 
Batch  16,	 best fitness: 5.560452 
Batch  17,	 best fitness: 5.082790 
Batch  18,	 best fitness: 1.235513 
Batch  19,	 best fitness: 0.720834 
Batch  20,	 best fitness: 1.389897 
Batch  21,	 best fitness: 0.596350 
Batch  22,	 best fitness: 3.918157 
