Batch   1,	 best fitness: 2.931514 
Batch   2,	 best fitness: 5.161105 
Batch   3,	 best fitness: 8.404030 
Batch   4,	 best fitness: 7.813642 
Batch   5,	 best fitness: 5.351686 
Batch   6,	 best fitness: 4.626789 
Batch   7,	 best fitness: 15.334197 
Batch   8,	 best fitness: 5.275351 
Batch   9,	 best fitness: 2.630129 
Batch  10,	 best fitness: 3.236301 
Batch  11,	 best fitness: 4.414467 
Batch  12,	 best fitness: 5.572483 
Batch  13,	 best fitness: 2.880688 
Batch  14,	 best fitness: 3.387044 
Batch  15,	 best fitness: 5.615049 
Batch  16,	 best fitness: 4.946952 
Batch  17,	 best fitness: 2.333577 
Batch  18,	 best fitness: 16.495411 
Batch  19,	 best fitness: 7.537132 
Batch  20,	 best fitness: 3.888245 
Batch  21,	 best fitness: 2.194178 
Batch  22,	 best fitness: 3.919993 
Batch  23,	 best fitness: 1.950784 
Batch  24,	 best fitness: 2.279242 
Batch  25,	 best fitness: 2.945459 
Batch  26,	 best fitness: 6.777116 
Batch  27,	 best fitness: 5.689666 
Batch  28,	 best fitness: 4.770589 
Batch  29,	 best fitness: 3.303618 
Batch  30,	 best fitness: 7.207524 
