Batch   1,	 best fitness: 5.748824 
Batch   2,	 best fitness: 3.828728 
Batch   3,	 best fitness: 4.589607 
Batch   4,	 best fitness: 10.603638 
Batch   5,	 best fitness: 7.603423 
Batch   6,	 best fitness: 3.999932 
Batch   7,	 best fitness: 4.428867 
Batch   8,	 best fitness: 4.292612 
Batch   9,	 best fitness: 5.190033 
Batch  10,	 best fitness: 7.198176 
Batch  11,	 best fitness: 3.876305 
Batch  12,	 best fitness: 11.048782 
Batch  13,	 best fitness: 9.822903 
Batch  14,	 best fitness: 6.712622 
Batch  15,	 best fitness: 3.758935 
Batch  16,	 best fitness: 5.362050 
Batch  17,	 best fitness: 12.248553 
Batch  18,	 best fitness: 5.490779 
Batch  19,	 best fitness: 8.772800 
Batch  20,	 best fitness: 1.634855 
Batch  21,	 best fitness: 6.524800 
Batch  22,	 best fitness: 5.424497 
Batch  23,	 best fitness: 5.248086 
Batch  24,	 best fitness: 16.935214 
Batch  25,	 best fitness: 11.905005 
Batch  26,	 best fitness: 4.563512 
Batch  27,	 best fitness: 9.001447 
Batch  28,	 best fitness: 4.793394 
Batch  29,	 best fitness: 5.012344 
Batch  30,	 best fitness: 1.715081 
