Batch   1,	 best fitness: 0.007052 
Batch   2,	 best fitness: 0.001345 
Batch   3,	 best fitness: 0.001141 
Batch   4,	 best fitness: 0.000408 
Batch   5,	 best fitness: 0.001675 
Batch   6,	 best fitness: 0.000005 
Batch   7,	 best fitness: 0.001504 
Batch   8,	 best fitness: 0.003316 
Batch   9,	 best fitness: 0.009350 
Batch  10,	 best fitness: 0.003404 
Batch  11,	 best fitness: 0.000420 
Batch  12,	 best fitness: 0.000371 
Batch  13,	 best fitness: 0.000475 
Batch  14,	 best fitness: 0.015076 
Batch  15,	 best fitness: 0.003117 
Batch  16,	 best fitness: 0.000389 
Batch  17,	 best fitness: 0.000592 
Batch  18,	 best fitness: 0.000320 
Batch  19,	 best fitness: 0.001668 
Batch  20,	 best fitness: 0.000046 
Batch  21,	 best fitness: 0.002119 
Batch  22,	 best fitness: 0.001937 
Batch  23,	 best fitness: 0.000624 
Batch  24,	 best fitness: 0.002331 
Batch  25,	 best fitness: 0.000613 
Batch  26,	 best fitness: 0.000881 
Batch  27,	 best fitness: 0.004372 
Batch  28,	 best fitness: 0.002088 
Batch  29,	 best fitness: 0.001587 
Batch  30,	 best fitness: 0.000345 
