Batch   1,	 best fitness: 2.179025 
Batch   2,	 best fitness: 3.484582 
Batch   3,	 best fitness: 6.215158 
Batch   4,	 best fitness: 1.284590 
Batch   5,	 best fitness: 8.221357 
Batch   6,	 best fitness: 10.768087 
Batch   7,	 best fitness: 38.495701 
Batch   8,	 best fitness: 0.658317 
Batch   9,	 best fitness: 1.417467 
Batch  10,	 best fitness: 2.424605 
Batch  11,	 best fitness: 1.245498 
Batch  12,	 best fitness: 3.522283 
Batch  13,	 best fitness: 7.426126 
Batch  14,	 best fitness: 1.360946 
Batch  15,	 best fitness: 4.812142 
Batch  16,	 best fitness: 6.469247 
Batch  17,	 best fitness: 1.219049 
Batch  18,	 best fitness: 8.131342 
Batch  19,	 best fitness: 3.522794 
Batch  20,	 best fitness: 3.408124 
Batch  21,	 best fitness: 48.706320 
Batch  22,	 best fitness: 1.017915 
Batch  23,	 best fitness: 10.246691 
Batch  24,	 best fitness: 40.262411 
Batch  25,	 best fitness: 14.496922 
Batch  26,	 best fitness: 5.169427 
Batch  27,	 best fitness: 10.555931 
Batch  28,	 best fitness: 3.617912 
Batch  29,	 best fitness: 4.129852 
Batch  30,	 best fitness: 221.264056 
